id|name|types|speed|hp|base_experience|attack|defense|weight
598|ferrothorn|grass,steel|20|74|171|94|131|1100
599|klink|steel|30|40|60|55|70|210
600|klang|steel|50|60|154|80|95|510
601|klinklang|steel|90|60|234|100|115|810
602|tynamo|electric|60|35|55|55|40|3
603|eelektrik|electric|40|65|142|85|70|220
604|eelektross|electric|50|85|232|115|80|805
605|elgyem|psychic|30|55|67|55|55|90
606|beheeyem|psychic|40|75|170|75|75|345
607|litwick|ghost,fire|20|50|55|30|55|31
608|lampent|ghost,fire|55|60|130|40|60|130
609|chandelure|ghost,fire|80|60|234|55|90|343
610|axew|dragon|57|46|64|87|60|180
611|fraxure|dragon|67|66|144|117|70|360
612|haxorus|dragon|97|76|243|147|90|1055
613|cubchoo|ice|40|55|61|70|40|85
614|beartic|ice|50|95|177|130|80|2600
615|cryogonal|ice|105|80|180|50|50|1480
616|shelmet|bug|25|50|61|40|85|77
617|accelgor|bug|145|80|173|70|40|253
618|stunfisk|ground,electric|32|109|165|66|84|110
619|mienfoo|fighting|65|45|70|85|50|200
620|mienshao|fighting|105|65|179|125|60|355
621|druddigon|dragon|48|77|170|120|90|1390
622|golett|ground,ghost|35|59|61|74|50|920
623|golurk|ground,ghost|55|89|169|124|80|3300
624|pawniard|dark,steel|60|45|68|85|70|102
625|bisharp|dark,steel|70|65|172|125|100|700
626|bouffalant|normal|55|95|172|110|95|946
627|rufflet|normal,flying|60|70|70|83|50|105
628|braviary|normal,flying|80|100|179|123|75|410
629|vullaby|dark,flying|60|70|74|55|75|90
630|mandibuzz|dark,flying|80|110|179|65|105|395
631|heatmor|fire|65|85|169|97|66|580
632|durant|bug,steel|109|58|169|109|112|330
633|deino|dark,dragon|38|52|60|65|50|173
634|zweilous|dark,dragon|58|72|147|85|70|500
635|hydreigon|dark,dragon|98|92|270|105|90|1600
636|larvesta|bug,fire|60|55|72|85|55|288
637|volcarona|bug,fire|100|85|248|60|65|460
638|cobalion|steel,fighting|108|91|261|90|129|2500
639|terrakion|rock,fighting|108|91|261|129|90|2600
640|virizion|grass,fighting|108|91|261|90|72|2000
641|tornadus-incarnate|flying|111|79|261|115|70|630
642|thundurus-incarnate|electric,flying|111|79|261|115|70|610
643|reshiram|dragon,fire|90|100|306|120|100|3300
644|zekrom|dragon,electric|90|100|306|150|120|3450
645|landorus-incarnate|ground,flying|101|89|270|125|90|680
646|kyurem|dragon,ice|95|125|297|130|90|3250
647|keldeo-ordinary|water,fighting|108|91|261|72|90|485
648|meloetta-aria|normal,psychic|90|100|270|77|77|65
649|genesect|bug,steel|99|71|270|120|95|825
650|chespin|grass|38|56|63|61|65|90
651|quilladin|grass|57|61|142|78|95|290
652|chesnaught|grass,fighting|64|88|239|107|122|900
653|fennekin|fire|60|40|61|45|40|94
654|braixen|fire|73|59|143|59|58|145
655|delphox|fire,psychic|104|75|240|69|72|390
656|froakie|water|71|41|63|56|40|70
657|frogadier|water|97|54|142|63|52|109
658|greninja|water,dark|122|72|239|95|67|400
659|bunnelby|normal|57|38|47|36|38|50
660|diggersby|normal,ground|78|85|148|56|77|424
661|fletchling|normal,flying|62|45|56|50|43|17
662|fletchinder|fire,flying|84|62|134|73|55|160
663|talonflame|fire,flying|126|78|175|81|71|245
664|scatterbug|bug|35|38|40|35|40|25
665|spewpa|bug|29|45|75|22|60|84
666|vivillon|bug,flying|89|80|185|52|50|170
667|litleo|fire,normal|72|62|74|50|58|135
668|pyroar|fire,normal|106|86|177|68|72|815
669|flabebe|fairy|42|44|61|38|39|1
670|floette|fairy|52|54|130|45|47|9
671|florges|fairy|75|78|248|65|68|100
672|skiddo|grass|52|66|70|65|48|310
673|gogoat|grass|68|123|186|100|62|910
674|pancham|fighting|43|67|70|82|62|80
675|pangoro|fighting,dark|58|95|173|124|78|1360
676|furfrou|normal|102|75|165|80|60|280
677|espurr|psychic|68|62|71|48|54|35
678|meowstic-male|psychic|104|74|163|48|76|85
679|honedge|steel,ghost|28|45|65|80|100|20
680|doublade|steel,ghost|35|59|157|110|150|45
681|aegislash-shield|steel,ghost|60|60|234|50|140|530
682|spritzee|fairy|23|78|68|52|60|5
683|aromatisse|fairy|29|101|162|72|72|155
684|swirlix|fairy|49|62|68|48|66|35
685|slurpuff|fairy|72|82|168|80|86|50
686|inkay|dark,psychic|45|53|58|54|53|35
687|malamar|dark,psychic|73|86|169|92|88|470
688|binacle|rock,water|50|42|61|52|67|310
689|barbaracle|rock,water|68|72|175|105|115|960
690|skrelp|poison,water|30|50|64|60|60|73
691|dragalge|poison,dragon|44|65|173|75|90|815
692|clauncher|water|44|50|66|53|62|83
693|clawitzer|water|59|71|100|73|88|353
694|helioptile|electric,normal|70|44|58|38|33|60
695|heliolisk|electric,normal|109|62|168|55|52|210
696|tyrunt|rock,dragon|48|58|72|89|77|260
697|tyrantrum|rock,dragon|71|82|182|121|119|2700
698|amaura|rock,ice|46|77|72|59|50|252
699|aurorus|rock,ice|58|123|104|77|72|2250
700|sylveon|fairy|60|95|184|65|65|235
701|hawlucha|fighting,flying|118|78|175|92|75|215
702|dedenne|electric,fairy|101|67|151|58|57|22
703|carbink|rock,fairy|50|50|100|50|150|57
704|goomy|dragon|40|45|60|50|35|28
705|sliggoo|dragon|60|68|158|75|53|175
706|goodra|dragon|80|90|270|100|70|1505
707|klefki|steel,fairy|75|57|165|80|91|30
708|phantump|ghost,grass|38|43|62|70|48|70
709|trevenant|ghost,grass|56|85|166|110|76|710
710|pumpkaboo-average|ghost,grass|51|49|67|66|70|50
711|gourgeist-average|ghost,grass|84|65|173|90|122|125
712|bergmite|ice|28|55|61|69|85|995
713|avalugg|ice|28|95|180|117|184|5050
714|noibat|flying,dragon|55|40|49|30|35|80
715|noivern|flying,dragon|123|85|187|70|80|850
716|xerneas|fairy|99|126|306|131|95|2150
717|yveltal|dark,flying|99|126|306|131|95|2030
718|zygarde|dragon,ground|95|108|270|100|121|3050
719|diancie|rock,fairy|50|50|270|100|150|88
720|hoopa|psychic,ghost|70|80|270|110|60|90
721|volcanion|fire,water|70|80|270|110|120|1950
722|rowlet|grass,flying|42|68|64|55|55|15
723|dartrix|grass,flying|52|78|147|75|75|160
724|decidueye|grass,ghost|70|78|239|107|75|366
725|litten|fire|70|45|64|65|40|43
726|torracat|fire|90|65|147|85|50|250
727|incineroar|fire,dark|60|95|239|115|90|830
728|popplio|water|40|50|64|54|54|75
729|brionne|water|50|60|147|69|69|175
730|primarina|water,fairy|60|80|239|74|74|440
731|pikipek|normal,flying|65|35|53|75|30|12
732|trumbeak|normal,flying|75|55|124|85|50|148
733|toucannon|normal,flying|60|80|218|120|75|260
734|yungoos|normal|45|48|51|70|30|60
735|gumshoos|normal|45|88|146|110|60|142
736|grubbin|bug|46|47|60|62|45|44
737|charjabug|bug,electric|36|57|140|82|95|105
738|vikavolt|bug,electric|43|77|225|70|90|450
739|crabrawler|fighting|63|47|68|82|57|70
740|crabominable|fighting,ice|43|97|167|132|77|1800
741|oricorio-baile|fire,flying|93|75|167|70|70|34
742|cutiefly|bug,fairy|84|40|61|45|40|2
743|ribombee|bug,fairy|124|60|162|55|60|5
744|rockruff|rock|60|45|56|65|40|92
745|lycanroc-midday|rock|112|75|170|115|65|250
746|wishiwashi-solo|water|40|45|61|20|20|3
747|mareanie|poison,water|45|50|61|53|62|80
748|toxapex|poison,water|35|50|173|63|152|145
749|mudbray|ground|45|70|77|100|70|1100
750|mudsdale|ground|35|100|175|125|100|9200
751|dewpider|water,bug|27|38|54|40|52|40
752|araquanid|water,bug|42|68|159|70|92|820
753|fomantis|grass|35|40|50|55|35|15
754|lurantis|grass|45|70|168|105|90|185
755|morelull|grass,fairy|15|40|57|35|55|15
756|shiinotic|grass,fairy|30|60|142|45|80|115
757|salandit|poison,fire|77|48|64|44|40|48
758|salazzle|poison,fire|117|68|168|64|60|222
759|stufful|normal,fighting|50|70|68|75|50|68
760|bewear|normal,fighting|60|120|175|125|80|1350
761|bounsweet|grass|32|42|42|30|38|32
762|steenee|grass|62|52|102|40|48|82
763|tsareena|grass|72|72|230|120|98|214
764|comfey|fairy|100|51|170|52|90|3
765|oranguru|normal,psychic|60|90|172|60|80|760
766|passimian|fighting|80|100|172|120|90|828
767|wimpod|bug,water|80|25|46|35|40|120
768|golisopod|bug,water|40|75|186|125|140|1080
769|sandygast|ghost,ground|15|55|64|55|80|700
770|palossand|ghost,ground|35|85|168|75|110|2500
771|pyukumuku|water|5|55|144|60|130|12
772|type-null|normal|59|95|107|95|95|1205
773|silvally|normal|95|95|257|95|95|1005
774|minior-red-meteor|rock,flying|60|60|154|60|100|400
775|komala|normal|65|65|168|115|65|199
776|turtonator|fire,dragon|36|60|170|78|135|2120
777|togedemaru|electric,steel|96|65|152|98|63|33
778|mimikyu-disguised|ghost,fairy|96|55|167|90|80|7
779|bruxish|water,psychic|92|68|166|105|70|190
780|drampa|normal,dragon|36|78|170|60|85|1850
781|dhelmise|ghost,grass|40|70|181|131|100|2100
782|jangmo-o|dragon|45|45|60|55|65|297
783|hakamo-o|dragon,fighting|65|55|147|75|90|470
784|kommo-o|dragon,fighting|85|75|270|110|125|782
785|tapu-koko|electric,fairy|130|70|257|115|85|205
786|tapu-lele|psychic,fairy|95|70|257|85|75|186
787|tapu-bulu|grass,fairy|75|70|257|130|115|455
788|tapu-fini|water,fairy|85|70|257|75|115|212
789|cosmog|psychic|37|43|40|29|31|1
790|cosmoem|psychic|37|43|140|29|131|9999
791|solgaleo|psychic,steel|97|137|306|137|107|2300
792|lunala|psychic,ghost|97|137|306|113|89|1200
793|nihilego|rock,poison|103|109|257|53|47|555
794|buzzwole|bug,fighting|79|107|257|139|139|3336
795|pheromosa|bug,fighting|151|71|257|137|37|250
796|xurkitree|electric|83|83|257|89|71|1000
797|celesteela|steel,flying|61|97|257|101|103|9999
798|kartana|grass,steel|109|59|257|181|131|1
799|guzzlord|dark,dragon|43|223|257|101|53|8880
